text,normalized_rating,price,sentiment_score,combined_score,product
[[VIDEOID:7ba0476eca292f243baf0141d968bb08]] It works perfect no complaints!,0.8400000000000001,229.0,1.0,0.9354900428143433,Macbook
Needed to replace an existing machine and this worked perfectly.  Arrived in perfect shape. Upgraded to 10.15 without a hitch.,0.8400000000000001,271.26,1.0,0.9311090884587874,Macbook
Great laptop and speedy shipping!,0.8400000000000001,271.26,1.0,0.9311090884587874,Macbook
"Using for IMovie, this works perfectly.",0.8,594.0,1.0,0.8856517006520634,Macbook
"This laptop is probably the best buy I have made. The condition, price, features, delivery time and performance are wonderful.",0.8,596.0,1.0,0.8854443672703524,Macbook
Screen and case were in perfect condition. It was a breeze to set up and connect to my apple account. I had a SIM card which I inserted and the iPad immediately recognized it. This was a great buy. No glitches whatsoever.,0.86,289.0,0.9,0.8852700413630097,Macbook
a perfect used computer,0.72,398.11,1.0,0.8819589687237593,Macbook
Excellent!!!!,0.72,398.11,1.0,0.8819589687237593,Macbook
Perfect!!!!,0.72,398.11,1.0,0.8819589687237593,Macbook
Great value!,0.78,576.0,1.0,0.8815177010874635,Macbook
"Viene solo con cargador , de n caja alternativa, pero bien protegido, sería ideal pudiesen dar más opciones de accesorios para estas compras (y teclado europeo , ojalá para un futuro)",0.8400000000000001,271.26,0.9,0.8811090884587873,Macbook
The computer is really a great deal at an excellent price.,0.8400000000000001,271.26,0.9,0.8811090884587873,Macbook
Excellent!,0.82,1020.03,1.0,0.8474865803468687,Macbook
This was an excellent purchase!,0.82,1099.0,1.0,0.8393000217700051,Macbook
Performing great - no issues,0.86,289.0,0.8,0.8352700413630096,Macbook
Great buy except for battery life,0.86,289.0,0.8,0.8352700413630096,Macbook
MacBook Pro seems to be in GREAT SHAPE. We’re very happy with it and the price we paid! Thank you,0.8400000000000001,740.0,0.9,0.8325163637871515,Macbook
great product for the cost,0.8400000000000001,271.26,0.8,0.8311090884587873,Macbook
"Excellent condition, refurbished my $&@.I can’t move pass welcome screen. I give 1 stars because item was in super excellent condition.",0.8400000000000001,271.26,0.7833333333333333,0.822775755125454,Macbook
The Apple MacBook Air 13.3-inch MJVE2LL/A was a great buy with a great price. It's functioning well. I bought it for my wife and she loves it. Thank you Amazon.,0.8400000000000001,369.0,0.8,0.8209767060945647,Macbook
This MacBook is spot on! Came with almost no blemish. Portable and works great.,0.82,356.0,0.8,0.8163243730756871,Macbook
"great shape, no scuffs or scratches, packaging was impeccable, very happy with product!!",0.8,596.0,0.85,0.8104443672703523,Macbook
Great seller,0.82,518.97,0.8,0.7994298124669562,Macbook
Amazing all around!,0.82,356.0,0.7500000000000001,0.7913243730756871,Macbook
Great product,0.78,576.0,0.8,0.7815177010874637,Macbook
